quarter,UK real GDP,UK nominal GDP,UK CPI,UK unemployment rate,UK corporate profits,UK household income,UK residential property price index,UK commercial real estate price index - aggregate,UK commercial real estate price index - prime,UK commercial real estate price index - secondary,UK equity prices,Bank Rate,Sterling IG corporate bond spread,Sterling HY corporate bond spread,Secured lending to UK individuals,Unsecured lending to UK individuals,Lending to UK PNFCs,PPP-weighted World real GDP,Oil price,Volatility index,GBP-EUR exchange rate index,GBP-USD exchange rate index,G20 emerging economy dollar exchange rate index,Real GDP,Consumer price inflation,Unemployment rate,ECB policy rate,Residential property price index,Commercial real estate price index,Real GDP.1,Consumer price inflation.1,Unemployment rate.1,Residential property price index.1,Commercial real estate price index.1,Real GDP.2,Consumer price inflation.2,Unemployment rate.2,Residential property price index.2,Commercial real estate price index.2,US real GDP,US unemployment rate,US equity prices,US policy rate,US residential property price index,US commercial real estate price index,US dollar IG corporate bond spread,US dollar HY corporate bond spread,Brazil real GDP,China real GDP,China average nominal wage growth,China residential property price index,Hong Kong real GDP,Hong Kong unemployment rate,Hong Kong residential property price index,Hong Kong commercial real estate price index,Singapore real GDP,South Africa real GDP,period_kind,UK nominal GDP index
Q3 2013,416941.0,430607.0,126.4,7.6,196897.0,300319.0,90.2,,,,99.3,0.5,172.0,549.0,0.9,4.4,-1.8,95.9,110.3,14.4,93.3,103.8,114.0,98.9,1.3,12.0,0.5,100.5,98.6,98.8,1.6,7.5,97.6,98.1,99.1,0.9,19.1,102.2,99.9,97.0,7.2,83.2,0.3,93.2,89.6,155.0,474.0,103.2,91.8,10.76,101.1,97.0,3.4,89.5,96.9,96.1,97.5,history,95.18463330307192
Q4 2013,419637.0,435160.0,127.1,7.2,200368.0,300695.0,92.5,,,,101.0,0.5,147.0,456.0,1.1,4.9,-0.5,96.6,109.4,14.2,93.5,105.9,112.9,99.1,0.8,11.9,0.4,100.1,98.2,99.1,1.1,7.5,98.0,97.9,99.2,0.2,18.9,101.0,99.0,98.0,7.0,88.0,0.3,95.6,91.8,143.0,433.0,103.3,93.2,10.06,103.2,97.9,3.3,89.4,96.6,97.9,98.7,history,96.19106291389777
Q1 2014,422825.0,439451.0,127.2,6.8,203745.0,300433.0,94.9,,,,102.7,0.5,134.0,358.0,1.4,5.3,-2.2,97.4,108.3,14.8,93.9,106.6,111.4,99.4,0.6,11.8,0.3,100.3,98.7,99.4,0.9,7.5,98.4,98.4,99.4,0.1,18.7,100.3,99.3,97.0,6.6,91.2,0.3,97.3,91.5,124.0,394.0,103.9,94.9,10.3,104.4,98.4,3.1,89.0,97.3,98.3,98.4,history,97.1395780599671
Q2 2014,426527.0,445234.0,128.1,6.3,206277.0,309375.0,97.4,,,,103.4,0.5,129.0,328.0,1.6,5.7,0.1,98.2,109.7,12.7,97.6,109.8,111.6,99.5,0.6,11.6,0.2,100.6,99.1,99.4,0.8,7.4,99.1,99.0,99.6,0.1,18.3,99.6,99.5,98.0,6.2,94.5,0.3,97.5,94.6,112.0,365.0,102.5,96.7,10.16,104.1,98.2,3.1,90.3,98.1,98.2,98.5,history,98.41789618854297
Q3 2014,430104.0,451021.0,128.2,6.0,208685.0,312707.0,99.3,,,,103.1,0.5,131.0,374.0,1.8,6.1,-1.1,99.1,102.1,13.0,100.2,103.8,106.9,99.7,0.4,11.5,0.1,100.8,99.6,99.6,0.7,7.4,99.2,99.5,99.8,-0.2,18.1,99.5,99.8,99.0,6.1,98.3,0.3,98.0,96.8,112.0,388.0,102.7,98.5,10.15,101.0,99.6,3.3,95.3,99.2,98.8,99.0,history,99.69709850742046
Q4 2014,432814.0,452391.3,128.3,5.7,208952.0,313560.0,100.0,100.0,100.0,100.0,100.0,0.5,141.0,441.0,1.8,6.6,-3.0,100.0,76.1,16.0,100.0,100.0,100.0,100.0,0.2,11.4,0.1,100.0,100.0,100.0,0.4,7.3,100.0,100.0,100.0,-0.3,18.0,100.0,100.0,100.0,5.7,100.0,0.3,100.0,100.0,133.0,468.0,100.0,100.0,9.9,100.0,100.0,3.3,100.0,100.0,100.0,100.0,year_zero,100.0
Q1 2015,432818.0,452037.9,127.1,5.8,205076.0,312522.0,96.0,97.0,96.512354697,97.2,94.9,0.5,178.0,585.0,1.5,6.1,-0.6,100.0,48.4,18.3,104.0,96.0,87.0,100.0,-1.18,11.4,0.0,96.2,96.5,100.1,-0.8,7.3,96.0,96.4,99.8,-1.8,18.0,96.6,96.6,100.1,5.6,98.3,0.3,98.3,97.1,182.0,752.0,99.0,100.1,6.4,93.0,97.7,3.3,92.0,91.0,98.2,98.8,projection,99.92188178685134
Q2 2015,431016.0,452855.4,127.5,6.1,205053.0,317868.0,92.7,91.3,89.856522808,91.9,80.7,0.25,349.0,1315.0,1.2,5.4,0.7,99.5,38.0,26.2,108.7,92.0,74.0,99.3,-1.28,11.9,0.0,93.0,93.5,99.5,-1.0,7.6,92.7,93.4,98.8,-1.8,18.8,93.8,93.8,100.1,5.9,90.4,0.3,96.6,94.5,231.0,1036.0,97.8,100.3,3.4,87.2,96.1,3.9,85.3,83.5,96.4,97.7,projection,100.10258817974618
Q3 2015,427077.0,449822.6,127.1,6.9,202770.0,317799.0,89.9,86.8,84.611698255,87.7,71.5,0.0,502.0,1966.0,0.6,3.9,1.2,99.3,41.0,45.9,114.3,88.0,74.6,98.8,-1.42,12.4,0.0,90.4,91.1,99.2,-1.2,7.8,89.9,90.9,98.1,-1.8,19.7,91.4,91.4,99.9,6.5,83.8,0.3,95.2,92.2,280.0,1320.0,96.7,100.9,2.4,82.4,95.2,4.6,79.8,77.3,94.0,96.9,projection,99.4321950930533
Q4 2015,422690.0,444767.9,127.1,7.7,199767.0,316468.0,87.6,83.0,80.122192915,84.1,64.0,0.0,452.0,1762.0,0.2,1.8,1.2,99.3,43.3,44.9,115.2,88.7,75.2,98.5,-1.26,12.8,0.0,88.2,89.0,98.9,-1.2,8.0,87.6,88.9,97.6,-1.4,20.5,89.5,89.5,99.8,7.1,78.4,0.3,93.9,90.1,261.0,1208.0,95.6,101.7,2.4,78.4,94.4,5.2,75.3,72.2,93.0,96.3,projection,98.314865913646
Q1 2016,419234.0,439949.1,126.4,8.3,196345.0,315610.0,85.7,80.1,76.769184907,81.4,69.7,0.0,402.0,1557.0,-0.2,-0.5,0.3,99.4,45.4,37.5,116.1,89.4,75.8,97.9,-1.12,13.1,0.0,86.4,87.4,98.3,-1.1,8.2,85.7,87.2,97.1,-1.1,20.9,87.9,87.9,99.8,7.4,85.5,0.3,92.9,88.3,243.0,1095.0,94.9,102.5,2.9,75.0,94.6,5.8,71.5,67.9,93.8,96.0,projection,97.2496818572771
Q2 2016,418840.0,438661.1,126.8,8.6,193344.0,316282.0,84.2,77.7,73.99404668,79.2,72.9,0.0,352.0,1353.0,-0.5,-0.9,-0.5,99.8,47.3,25.0,115.9,90.1,76.4,97.6,-0.97,13.3,0.0,84.9,86.0,98.1,-1.0,8.4,84.2,85.7,96.8,-0.9,21.3,86.5,86.5,100.1,7.6,89.3,0.3,91.9,86.8,224.0,983.0,94.3,103.4,3.4,72.3,95.3,5.8,68.3,64.4,95.5,96.0,projection,96.96497258015351
Q3 2016,421122.0,441656.8,126.7,8.8,195149.0,318392.0,82.9,75.4,71.301332833,77.0,75.7,0.0,301.0,1149.0,-0.3,-0.1,-1.1,100.4,48.8,24.6,115.6,90.9,77.0,97.3,-0.88,13.6,0.0,83.7,84.8,97.8,-0.8,8.6,82.9,84.6,96.3,-1.0,21.6,85.4,85.4,100.4,7.7,91.9,0.3,91.1,85.5,205.0,871.0,93.8,104.4,3.9,70.0,96.2,5.7,65.7,61.4,96.8,96.1,projection,97.6271648017988
Q4 2016,423162.0,444814.1,127.4,8.9,196687.0,320918.0,81.8,73.2,68.688595279,75.0,79.8,0.0,251.0,944.0,0.0,1.6,-0.7,101.1,50.1,24.3,115.4,91.6,77.6,97.0,-0.79,13.8,0.0,82.6,83.8,97.5,-0.6,8.7,81.8,83.6,96.0,-1.2,22.0,84.5,84.5,100.9,7.7,94.0,0.3,90.5,84.5,186.0,758.0,93.4,105.4,4.4,68.1,97.0,5.7,63.5,59.0,98.5,96.2,projection,98.32507831162978
Q1 2017,425243.0,447049.6,127.1,9.1,196958.0,323272.0,80.9,71.7,66.990022046,73.6,82.3,0.0,201.0,740.0,0.3,2.9,-0.4,102.0,51.2,23.9,115.2,92.3,78.2,97.0,-0.49,14.0,0.0,81.8,83.0,97.5,-0.1,8.8,80.9,82.8,96.0,-1.2,22.3,83.7,83.7,101.5,7.7,96.1,0.3,90.0,83.7,168.0,646.0,94.2,106.6,4.9,66.5,98.6,5.6,61.7,57.0,99.6,96.4,projection,98.81923016645104
Q2 2017,427652.0,450320.3,127.9,9.2,197666.0,325952.0,80.1,70.6,65.74143551,72.6,84.7,0.0,151.0,535.0,0.6,3.4,0.1,102.9,52.2,23.5,115.0,93.0,78.8,97.0,-0.3,14.2,0.0,81.1,82.4,97.6,0.2,8.9,80.1,82.1,95.9,-1.2,22.6,83.1,83.1,102.0,7.5,98.2,0.3,89.7,82.4,149.0,534.0,95.2,108.1,5.4,65.2,100.4,5.4,60.2,55.3,101.6,96.8,projection,99.54221047133312
Q3 2017,430799.0,454467.3,127.9,9.2,198747.0,329330.0,80.0,70.3,65.328708271,72.3,86.4,0.0,151.0,544.0,0.9,4.1,0.6,103.9,53.0,23.2,114.8,93.7,79.4,97.0,-0.16,14.3,0.0,81.0,82.3,97.7,0.4,9.0,80.0,82.0,95.8,-1.2,22.9,83.0,83.0,102.6,7.4,100.4,0.3,89.0,82.0,149.0,537.0,96.2,109.6,5.9,65.0,102.1,5.2,60.0,55.0,103.0,97.7,projection,100.45889476654392
Q4 2017,434221.0,458731.8,128.5,9.0,199268.0,332977.0,82.0,70.3,65.328708271,72.3,88.1,0.0,151.0,552.0,1.1,4.6,1.1,104.9,53.7,22.8,114.6,94.4,80.0,97.2,-0.13,14.5,0.0,81.2,82.5,97.9,0.5,9.1,80.2,82.2,96.0,-1.3,23.3,83.3,83.3,103.2,7.3,102.8,0.3,90.3,84.0,150.0,540.0,97.2,111.1,6.4,66.0,103.0,5.0,61.1,59.5,104.2,98.7,projection,101.40155215186499
Q1 2018,437737.0,463224.6,128.3,8.8,200306.0,336859.0,83.5,71.0,66.151398616,72.9,89.5,0.0,152.0,560.0,1.3,5.0,1.7,106.0,54.4,22.4,114.3,95.1,80.3,97.4,-0.11,14.5,0.0,81.8,83.2,98.0,0.5,9.1,80.8,82.9,96.1,-1.2,23.3,83.9,83.9,103.8,7.1,105.4,0.3,91.7,85.9,150.0,543.0,98.4,113.0,6.9,67.1,104.3,4.8,62.4,61.8,105.5,99.8,projection,102.39467469865136
Q2 2018,441459.0,468323.2,129.0,8.6,201896.0,341014.0,85.0,72.1,67.399891302,73.9,90.9,0.0,152.0,568.0,1.6,5.2,2.1,107.2,55.2,22.1,114.1,95.9,80.5,97.6,-0.06,14.5,0.0,82.4,83.8,98.3,0.5,9.1,81.5,83.5,96.3,-1.1,23.3,84.5,84.5,104.6,6.9,108.1,0.3,93.2,88.0,151.0,546.0,99.6,115.0,7.4,68.5,105.5,4.8,64.0,64.0,106.5,101.1,projection,103.52170786661901
Q3 2018,445418.0,473589.8,129.0,8.3,203388.0,345379.0,85.5,73.1,68.667205172,74.9,92.3,0.0,152.0,576.0,1.8,5.2,2.6,108.4,55.8,21.7,113.9,96.6,80.8,97.9,-0.01,14.5,0.0,83.1,84.4,98.5,0.5,9.1,82.1,84.2,96.6,-1.0,23.3,85.2,85.2,105.4,6.8,110.9,0.3,94.5,90.0,151.0,549.0,100.8,116.9,7.4,70.2,106.6,4.7,65.9,66.3,107.9,102.3,projection,104.68587702725493
Q4 2018,449793.0,479205.8,129.6,8.0,204626.0,349673.0,87.7,74.2,69.953623956,76.0,93.8,0.0,153.0,584.0,2.1,5.3,3.2,109.6,56.3,21.3,113.7,97.3,81.0,98.2,0.07,14.5,0.0,83.7,85.1,98.8,0.5,9.1,82.7,84.8,97.0,-0.8,23.3,85.8,85.8,106.2,6.6,113.7,0.3,96.0,92.2,152.0,552.0,102.0,118.9,7.4,72.2,107.7,4.7,68.1,68.5,109.2,103.6,projection,105.92728021073792
Q1 2019,453806.0,484737.8,129.5,7.8,206503.0,353962.0,89.2,75.4,71.259435665,77.0,95.4,0.0,153.0,592.0,2.3,5.4,3.7,110.8,56.8,21.0,113.6,97.3,81.3,98.5,0.16,14.5,0.0,84.4,85.8,99.1,0.6,9.1,83.4,85.5,97.4,-0.6,23.2,86.5,86.5,107.1,6.4,116.7,0.3,97.5,94.4,152.0,555.0,103.3,120.9,7.28,74.6,108.7,4.6,70.9,70.8,110.5,104.9,projection,107.15011539788675
Q2 2019,457723.0,490355.8,130.3,7.6,208534.0,358126.0,90.7,76.5,72.584932648,78.1,97.0,0.0,154.0,601.0,2.5,5.4,4.1,112.1,57.4,20.6,113.4,97.3,81.5,98.9,0.25,14.4,0.0,85.0,86.4,99.4,0.6,9.0,84.0,86.2,97.9,-0.4,23.1,87.2,87.2,108.1,6.1,119.7,0.3,98.9,96.6,153.0,558.0,104.5,123.0,7.15,77.5,109.6,4.6,74.2,73.0,111.6,106.3,projection,108.39196067652053
Q3 2019,461876.0,496309.2,130.4,7.4,210737.0,362436.0,91.0,77.7,73.930411665,79.1,98.7,0.0,154.0,609.0,2.7,5.5,4.5,113.4,57.9,20.3,113.2,97.3,81.8,99.3,0.34,14.4,0.0,85.7,87.1,99.7,0.6,9.0,84.7,86.8,98.4,-0.2,23.0,87.9,87.9,109.2,5.8,122.8,0.3,100.4,98.9,153.0,561.0,105.7,125.0,7.03,80.2,110.5,4.6,77.2,75.3,112.6,107.6,projection,109.70794531194565
Q4 2019,466101.0,501965.2,131.1,7.2,212693.0,366641.0,93.0,78.8,75.296173945,80.2,100.5,0.0,154.0,617.0,2.8,5.6,4.8,114.6,58.4,19.9,113.0,97.9,82.0,99.7,0.43,14.3,0.0,86.4,87.8,100.0,0.7,9.0,85.3,87.5,99.0,0.0,23.0,88.6,88.5,110.2,5.6,126.0,0.4,102.0,101.3,154.0,564.0,106.9,127.1,6.9,82.6,111.2,4.5,80.0,77.5,113.3,108.8,projection,110.9581903984449
